CODIGO;URL;HTTP;FICHA_JERARQUIA_TXT;FICHA_JERARQUIA_NUM;FICHA_ALTITUD_M;FICHA_TOPONIMIA;INGRESO_TIPO;INGRESO_OBS;TARIFA_SOLES;EPOCA_PROPICIA;EPOCA_ESPECIFICACION;HORA_VISITA;N_ACTIVIDADES;ACTIVIDADES;N_TRAMOS;ACCESO_KM;ACCESO_MIN;ACCESO_MEDIOS;ACCESO_VIAS;VISITANTES_NAC;VISITANTES_EXT;VISITANTES_LOC;VISITANTES_ANIO;N_SERV_ALOJAMIENTO;N_SERV_ALIMENTACION;TABLAS_RECONOCIDAS
13061;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13061;200;1;1;3187;;Libre;;;Esporádicamente - Algunos meses;--;"08:00 a.m.
                                -
                                06:00 p.m. --";6;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Realización de eventos | Naturaleza>Observación de paisaje | Cultura y Folclore>Degustación y preparación de platos, productos o bebidas típicas | Cultura y Folclore>Visita y participación en actividades de vida cotidiana de la comunidad;2;96.0;30;Mini bus turístico;Afirmado | Asfaltado;;;9168;2023;2;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
13509;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13509;200;No aplica;;3500;;;;;;;;;;;;;;;;;;;;;cabecera
13046;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13046;200;No aplica;;3187;;;;;;;;1;Otros>Toma de fotografías y filmaciones;;;;;;;;;;;;actividades|cabecera
5568;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5568;200;No aplica;;32;;;;;;;;4;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Degustación y preparación de platos, productos o bebidas típicas | Cultura y Folclore>Visita y participación en actividades de vida cotidiana de la comunidad | Cultura y Folclore>Participación y/u observación del proceso de elaboración de productos locales;;;;;;;;;;;;actividades|cabecera
5572;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5572;200;2;2;4;;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);Ingreso general: Adultos s/12.00 - Niños s/.8.00;12.0;Todo el Año;--;"10:00 a.m.
                                -
                                06:00 p.m. de lunes a domingo";8;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Estudios e Investigación | Cultura y Folclore>Rituales místicos o tradicionales | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping | Cultura y Folclore>Visita y participación en actividades de vida cotidiana de la comunidad;5;213.3;222;Automóvil particular | Bus público | Taxi;Asfaltado;11500;;;2022;4;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5573;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5573;200;POR JERARQUIZAR;;280;;Libre;;;Todo el Año;--;"09:00 a.m.
                                -
                                05:00 p.m. Lunes a domingo";3;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de paisaje;1;16.0;20;Mini bus público;Asfaltado;108;38;469;2024;1;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5579;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5579;200;POR JERARQUIZAR;;2249;;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);"Tarifas: 
Piscinas S/.10.00
Pozas privadas (1 hora): S/. 15.00
Adulto mayor S/. 5.00
Niños de 5 a 10 años: S/. 5.00";15.0;Todo el Año;--;"05:00 a.m.
                                -
                                07:00 p.m. Lunes a domingo";5;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Otros>Otros(Especificar) | Deportes acuáticos>Natación | Otros>Compra de productos regionales;2;111.3;138;Mini bus público | Mototaxi;Asfaltado;39823;1592;;2024;2;5;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5581;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5581;200;1;1;4000;;Libre;;;Esporádicamente - Algunos meses;--;"08:00 a.m.
                                -
                                06:00 p.m. Abril,mayo,junio,julio,agosto,";6;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping | Otros>Compra de productos regionales;3;305.4;122;Bus turístico;Asfaltado | Trocha carrozable;350;100;500;2019;3;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5584;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5584;200;2;2;2265;;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);"Adultos : S/.10.00 
Niños    : S/. 5.00";10.0;Todo el Año;--;"07:00 a.m.
                                -
                                07:00 p.m. Lunes a domingo";5;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Otros>Otros(Especificar) | Deportes acuáticos>Natación | Otros>Compra de productos regionales;5;364.8;63;Bus público | Bus turístico | Mini bus público | Mototaxi;Asfaltado;250;200;1250;2023;2;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5585;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5585;200;2;2;52;;Libre;;;Todo el Año;--;"08:00 a.m.
                                -
                                08:00 p.m. --";4;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Otros>Realización de eventos | Naturaleza>Observación de paisaje;3;28.35;80;A pie | Automóvil particular | Bus público;Asfaltado;52560;147870;;2023;3;5;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5591;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5591;200;4;4;2335;;Libre | Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);En los espacios públicos y contemplación del exterior. | Dependiendo de cada museo.;;Todo el Año;--;"06:00 a.m.
                                -
                                06:00 p.m. Dependiendo de cada atractivo";9;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Actividades Culturales | Otros>Actividades Sociales | Otros>Realización de eventos | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Paseos>Otros;3;18.5;50;Bus público | Bus turístico | Taxi;Asfaltado;74919;173377;;2019;8;8;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5593;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5593;200;1;1;2569;;Libre;;;Todo el Año;--;"06:00 a.m.
                                -
                                03:00 p.m. --";5;Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Naturaleza>Observación de aves | Deportes / Aventura>Caminata/Trekking;3;55.18;75;A pie | Automóvil particular;Asfaltado | Sendero;1800;240;360;2021;1;1;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
13607;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13607;200;1;1;1283;;Libre;;;Todo el Año;--;"06:00 a.m.
                                -
                                11:30 p.m. --";10;Cultura y Folclore>Actividades Religiosas o Patronales | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Cultura y Folclore>Degustación y preparación de platos, productos o bebidas típicas | Cultura y Folclore>Ferias | Deportes / Aventura>Otros(Especificar) | Cultura y Folclore>Apreciación de muestras o actividades artísticas(danza, teatro,canto, pintura, escultura, etc.) | Cultura y Folclore>Participación y/u observación del proceso de elaboración de productos locales;2;148.0;10;Bus público | Mini bus público;Afirmado | Asfaltado;720;540;2430;2024;2;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5597;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5597;200;1;1;1624;;Libre;Se ha establecido una tarifa de ingreso para adultos S/. 3.00 y niños S/ 2.00;3.0;Todo el Año;--;"06:00 a.m.
                                -
                                06:00 p.m. Se recomienda realizar las vis";6;Otros>Toma de fotografías y filmaciones | Paseos>Excursiones | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking;2;9.97;50;A pie | Camioneta doble tracción;Asfaltado | Sendero;4410;180;7110;2024;2;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5599;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5599;200;1;1;1989;;Libre;;;Esporádicamente - Algunos meses;--;- en los meses de Abril a Noviembre.;4;Otros>Toma de fotografías y filmaciones | Paseos>Excursiones | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje;3;163.0;60;A pie | Bus público | Camioneta doble tracción;Afirmado | Asfaltado | Sendero;360;180;2160;2024;1;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
13639;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13639;200;2;2;3400;;Libre | Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);"Cusqueños y residentes previa presentación de DNI | Incluido en el BTG 
Extranjero adulto: S/ 130
Ext. Estudiante: S/ 70 
Nacional adulto: S/ 70
Nac. Estudiante: S/ 40";130.0;Todo el Año;--;"08:00 a.m.
                                -
                                06:00 p.m. --";1;Otros>Toma de fotografías y filmaciones;2;5.2;40;A pie | Taxi;Asfaltado;10467;6682;8622;2024;3;5;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
13710;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13710;200;POR JERARQUIZAR;;3400;De las Voces Quechua: Qori = Oro, Kancha = Recinto;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc) | Libre;Incluido en el BTG: Extranjeros S/ 130, Estudiante Ext. S/ 70, Nacionales S/ 70, Estudiantes Nac. S/ 40. | Cusqueños previa presentación de DNI;130.0;Todo el Año;--;"08:30 a.m.
                                -
                                06:30 p.m. --";3;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Cultura y Folclore>Apreciación de muestras o actividades artísticas(danza, teatro,canto, pintura, escultura, etc.);1;0.0;8;A pie;Asfaltado;55083;59570;;2025;3;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
12487;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12487;200;1;1;3940;;Semi-restringido(previo permiso);Previo permiso de la familia Chino Coaquira;;Todo el Año;--;"08:00 a.m.
                                -
                                03:30 p.m. --";3;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de paisaje;2;104.0;15;Automóvil particular;Afirmado | Asfaltado;;;270;2023;1;2;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5621;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5621;200;2;2;1189;;Semi-restringido(previo permiso);"Coordinación: Sr. Giovanni Valdivia Cornejo 
  Cel. 958760581";;Todo el Año;--;"08:00 a.m.
                                -
                                04:00 p.m. Lunes a viernes";3;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de paisaje;4;15.7;21;Automóvil particular;Afirmado | Asfaltado;206;275;3266;2023;4;5;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5623;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5623;200;2;2;30;;Semi-restringido(previo permiso);Previa coordinación con el administrador de la Asociación Agrícola Cerro Blanco. Sr.Juan Emilio Bravo Flores,Celular :956005677;;Todo el Año;--;"10:00 a.m.
                                -
                                05:00 p.m. Lunes a domingo.";3;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Naturaleza>Observación de paisaje;4;324.2;45;A pie | Automóvil particular | Bus público | Mototaxi;Asfaltado;1006;798;967;2022;1;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
12096;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12096;200;No aplica;;3855;;;;;;;;4;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Realización de eventos | Cultura y Folclore>Apreciación de muestras o actividades artísticas(danza, teatro,canto, pintura, escultura, etc.);;;;;;;;;;;;actividades|cabecera
14307;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=14307;200;POR JERARQUIZAR;;3874;La palabra “Tinyari” proviene del idioma quechua, en su variante local, y hace referencia a la “tinya”, también llamada roncadora o caja. Este es un instrumento de percusión similar a un tambor, cuyo uso está ampliamente difundido en la zona andina. ;Libre;;;Todo el Año;--;"08:00 a.m.
                                -
                                05:00 p.m. --";7;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Camping;4;53.43;65;A pie | Automóvil particular;Afirmado | Asfaltado | Sendero;3870;270;3150;2026;3;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
13564;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13564;200;1;1;3926;"Su nombre proviene del idioma Quechua donde “ata” sería una derivación de ""atoc"" que significa zorro y ""cocha"" que significa laguna, uniendo ambas expresiones nos da como significado ""laguna del zorro""; el nombre estaría asociado al lugar pues es un ";Libre;;;Esporádicamente - Algunos meses;--;"09:00 a.m.
                                -
                                03:00 p.m. Son recomendados los meses de ";6;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking;4;36.1;95;Automóvil particular;Afirmado | Asfaltado;;;6480;2024;3;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
14609;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=14609;200;POR JERARQUIZAR;;3388;;Libre;;;Todo el Año;--;"09:00 a.m.
                                -
                                05:00 p.m. Cierra de 01:00 p.m. a 03:00 p";4;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Estudios e Investigación | Otros>Realización de eventos;1;9.4;16;Automóvil particular;Asfaltado;450;;3420;2026;3;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5637;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5637;200;POR JERARQUIZAR;;3060;"Proviene del vocablo del idioma quechua “chala” que significa “maíz que crece apiñado”, “región de las nieblas”, “tupido” o “acolchado” y la palabra Castellana “loma” que significa “altura pequeña y prolongada”; uniendo ambas palabras nos da como sig";Semi-restringido(previo permiso);El boleto de ingreso tiene el costo de S/ 1.00.;1.0;Todo el Año;--;"08:00 a.m.
                                -
                                05:00 p.m. --";6;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking;1;10.6;20;Automóvil particular;Asfaltado;;;14232;2025;3;5;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5641;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5641;200;No aplica;;3305;;;;;;;;8;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Realización de eventos | Cultura y Folclore>Degustación y preparación de platos, productos o bebidas típicas | Cultura y Folclore>Ferias | Cultura y Folclore>Apreciación de muestras o actividades artísticas(danza, teatro,canto, pintura, escultura, etc.) | Otros>Compra de productos regionales;;;;;;;;;;;;actividades|cabecera
5643;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5643;200;2;2;3307;;Libre;;;Todo el Año;--;"09:00 a.m.
                                -
                                05:00 p.m. --";3;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Estudios e Investigación;1;9.68;25;Automóvil particular;Asfaltado;4500;;23310;2023;3;5;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5645;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5645;200;1;1;;;Libre;;;Todo el Año;--;"08:00 a.m.
                                -
                                05:00 p.m. --";4;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking;3;13.68;60;A pie | Automóvil particular;Asfaltado | Sendero | Trocha carrozable;1530;;3690;2023;3;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5647;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5647;200;POR JERARQUIZAR;;2682;;Libre;;;Todo el Año;--;"06:00 a.m.
                                -
                                06:00 p.m. --";8;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Estudios e Investigación | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Otros>Compra de productos regionales;3;748.0;1080;Bus público | Mini bus turístico;Afirmado | Asfaltado;8800;648;;2023;4;8;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5649;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5649;200;No aplica;;3326;;;;;;;;8;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Naturaleza>Observación de paisaje | Cultura y Folclore>Degustación y preparación de platos, productos o bebidas típicas | Cultura y Folclore>Ferias | Cultura y Folclore>Visita y participación en actividades de vida cotidiana de la comunidad | Cultura y Folclore>Apreciación de muestras o actividades artísticas(danza, teatro,canto, pintura, escultura, etc.);;;;;;;;;;;;actividades|cabecera
5651;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5651;200;No aplica;;2683;;;;;;;;4;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Cultura y Folclore>Rituales místicos o tradicionales | Paseos>Paseos a caballo;;;;;;;;;;;;actividades|cabecera
5653;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5653;200;No aplica;;3669;;;;;;;;5;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Estudios e Investigación | Cultura y Folclore>Ferias | Cultura y Folclore>Apreciación de muestras o actividades artísticas(danza, teatro,canto, pintura, escultura, etc.);;;;;;;;;;;;actividades|cabecera
5659;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5659;200;No aplica;;2600;;;;;;;;7;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Actividades Culturales | Otros>Actividades Sociales | Cultura y Folclore>Degustación y preparación de platos, productos o bebidas típicas | Cultura y Folclore>Ferias;;;;;;;;;;;;actividades|cabecera
5664;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5664;200;No aplica;;2590;;;;;;;;4;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Otros>Estudios e Investigación | Otros>Realización de eventos;;;;;;;;;;;;actividades|cabecera
5665;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5665;ValueError;;;;;;;;;;;;;;;;;;;;;;;;
11545;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11545;ValueError;;;;;;;;;;;;;;;;;;;;;;;;
5668;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5668;ValueError;;;;;;;;;;;;;;;;;;;;;;;;
5669;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5669;ValueError;;;;;;;;;;;;;;;;;;;;;;;;
12924;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12924;200;1;1;628;;Libre;;;Todo el Año;--;"08:00 a.m.
                                -
                                04:00 p.m. La temporada más adecuada es e";4;Otros>Toma de fotografías y filmaciones | Naturaleza>Observación de fauna | Naturaleza>Observación de flora | Naturaleza>Observación de paisaje;3;19.0;45;A pie | Camioneta doble tracción;Asfaltado | Trocha carrozable;;;1890;2024;1;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
13545;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13545;200;2;2;3597;;Libre;;;Todo el Año;--;"06:00 a.m.
                                -
                                12:00 p.m. Durante la mañana es posible o";3;Otros>Toma de fotografías y filmaciones | Naturaleza>Observación de paisaje | Naturaleza>Observación de aves;2;77.0;150;Mini bus turístico;Afirmado | Asfaltado;950;460;1980;2025;1;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
11146;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11146;200;POR JERARQUIZAR;;34;;Semi-restringido(previo permiso);El ingreso es con previa coordinación con el señor Neyra al número:944558038;;Todo el Año;--;"09:00 a.m.
                                -
                                05:00 p.m. Cualquier día de semana previa";2;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación;4;75.0;13;A pie | Automóvil particular | Bus público | Combi;Asfaltado;168;;;2019;0;2;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
5677;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=5677;200;1;1;2823;;Libre;;;Todo el Año;--;"08:00 a.m.
                                -
                                05:00 p.m. --";4;Paseos>Excursiones | Naturaleza>Observación de flora | Deportes / Aventura>Caminata/Trekking | Paseos>Paseos en bote;3;60.0;110;Automóvil particular;Afirmado | Asfaltado | Trocha carrozable;8550;150;13500;2023;3;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
10318;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10318;200;2;2;550;"Huaycán procede del término ""Huayco"" del quechua wayqu, que significa 'quebrada'.";Libre;Presentar documento de identidad en el ingreso.;;Todo el Año;--;"08:30 a.m.
                                -
                                04:30 p.m. --";8;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Otros>Realización de eventos | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Ciclismo | Cultura y Folclore>Ferias | Paseos>Paseos en bicicleta;3;100.8;173;Automóvil particular;Asfaltado;5872;13;;2023;3;6;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
11840;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11840;200;No aplica;;3345;;;;;;;;4;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Cultura y Folclore>Degustación y preparación de platos, productos o bebidas típicas | Cultura y Folclore>Ferias;;;;;;;;;;;;actividades|cabecera
13877;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13877;200;No aplica;;685;;;;;;;;5;Otros>Toma de fotografías y filmaciones | Otros>Realización de eventos | Cultura y Folclore>Degustación y preparación de platos, productos o bebidas típicas | Cultura y Folclore>Apreciación de muestras o actividades artísticas(danza, teatro,canto, pintura, escultura, etc.) | Cultura y Folclore>Participación y/u observación del proceso de elaboración de productos locales;;;;;;;;;;;;actividades|cabecera
13738;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13738;200;2;2;2660;;Libre;;;Todo el Año;--;"09:00 a.m.
                                -
                                06:00 p.m. --";1;Otros>Toma de fotografías y filmaciones;3;3.0;25;A pie | Automóvil particular | Mototaxi;Asfaltado | Otros;2520;;900;2025;2;4;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
11488;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11488;200;No aplica;;3865;;;;;;;;3;Otros>Toma de fotografías y filmaciones | Cultura y Folclore>Actividades Religiosas o Patronales | Cultura y Folclore>Ferias;;;;;;18248;413;;2021;;;actividades|cabecera|visitantes
11788;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11788;200;1;1;4195;Ccocha = Laguna;Libre;;;Esporádicamente - Algunos meses;--;"09:00 a.m.
                                -
                                04:00 p.m. Evitar la temporada de lluvia ";5;Otros>Toma de fotografías y filmaciones | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Paseos>Paseos en bote | Deportes acuáticos>Otros;6;172.0;360;A pie | Automóvil particular | Combi;Asfaltado | Sendero | Trocha carrozable;26;;46;2022;2;2;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
13859;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13859;200;No aplica;;685;;;;;;;;4;Otros>Compras de artesanía/souvenir | Otros>Toma de fotografías y filmaciones | Otros>Realización de eventos | Cultura y Folclore>Apreciación de muestras o actividades artísticas(danza, teatro,canto, pintura, escultura, etc.);;;;;;;;;;;;actividades|cabecera
13679;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13679;200;1;1;1415;;Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc);S/ 20.00 soles adultos y niños S/10.00;20.0;Todo el Año;--;"08:00 a.m.
                                -
                                04:00 p.m. Previa coordinación con el pro";4;Otros>Toma de fotografías y filmaciones | Otros>Estudios e Investigación | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking;2;1.15;20;A pie | Automóvil particular;Afirmado | Camino de Herradura;749;38;;2024;2;3;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
13763;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13763;200;POR JERARQUIZAR;;3592;;Libre;;;Todo el Año;--;"06:00 a.m.
                                -
                                06:00 p.m. --";4;Otros>Realización de eventos | Naturaleza>Observación de paisaje | Deportes / Aventura>Caminata/Trekking | Deportes / Aventura>Ciclismo;1;0.65;10;A pie;Sendero;;;1710;2025;1;2;accesos|actividades|cabecera|epoca|ingreso|servicios|visitantes
